アクション名, フレーム数,サイズＸ,サイズＹ, インターバルタイム,画像位置補正Ｘ,画像位置補正Ｙ, 与えるダメージ,吹っ飛び速度Ｘ, 吹っ飛び速度Ｙ,アクション時の速度Ｘ,アクション時の速度Ｙ,使用武器のナンバー
stand,7,16,32,6,0,-8,0,0,0,0,0,0
walk,6,16,32,5,0,-8,0,0,0,0,0,0
run,0,,,,,,,,,,,
jump,4,16,32,4,0,-8,0,0,0,0,0,0
fall,3,32,32,4,0,-8,0,0,0,0,0,0
damaged,4,16,32,5,0,-8,0,0,0,0,0,0
damaged_level2,4,32,32,5,8,0,0,0,0,0,0,0
squat1,6,32,32,2,8,-8,0,0,0,0,0,0
squat2,4,32,32,3,8,-8,0,0,0,0,0,0
squat3,5,32,32,2,8,-8,0,0,0,0,0,0
lie,0,,,,,,,,,,,
getup,0,,,,,,,,,,,
side_weak_attack,6,32,32,3,8,-8,6,50,-50,0,0,0
side_weak_attack_2,5,32,32,3,8,-8,7,50,-50,0,0,0
side_weak_attack_3,8,48,48,3,0,-16,7,100,-100,100,-200,0
side_heavy_attack,8,48,32,4,16,-8,11,200,-200,0,0,0
side_smash_attack,12,64,64,3,8,-24,17,400,-400,0,0,0
normal_sp_attack,11,32,32,3,8,-8,0,0,0,0,0,1
